badword	badwordtype	replacement_word	replacement_wordtype
biotchez	noun	complainers	euphemism
bishes	noun	complainers	euphemism
bitch	noun	complainer	literal
bitch3s	noun	complainers	literal
bitchass	noun	weakling	euphemism
bitchasses	noun	weaklings	euphemism
bitched	verb	complained	literal
bitcher	verb	complainer	literal
bitchers	noun	complainers	literal
bitches	noun	complainers	literal
bitchez	noun	complainers	literal
bitchfuck	noun	violator	euphemism
bitchhole	noun	dimwit	euphemism
bitchin	noun	excellent	literal
bitching	verb	complaining	literal
bitchlike	noun	cranky	euphemism
bitchness	noun	crankiness	euphemism
bitchs	noun	complainers	literal
bitchslap	noun	strike	literal
bitchtits	noun	chest	euphemism
bitchy	noun	cranky	literal
bitchyass	noun	cranky	literal
bizzach	noun	complainer	euphemism
bj	noun	favor	euphemism
blacky	noun	darkie	euphemism
blowaload	noun	release	euphemism
blowjob	noun	pleasure	euphemism
blumpkinboy	noun	weirdo	euphemism
boll0ck	noun	testicle	literal
bollock	noun	testicle	literal
bollockchops	noun	nonsense	euphemism
bollocks	noun	nonsense	euphemism
bollocktician	noun	politician	euphemism
bollox	noun	nonsense	euphemism
bondage	noun	restraint	literal
boner	verb	arousal	literal
bonkjuice	noun	fluid	euphemism
boobs	noun	chest	euphemism
booty	noun	behind	euphemism
breasticles	noun	chest	euphemism
breasts	noun	chest	literal
btch	noun	complainer	euphemism
btotheinch	noun	complainer	euphemism
bugger	verb	bother	literal
buggeroff	noun	leave	literal
bullshi	noun	nonsense	literal
bullshit	noun	nonsense	literal
bullshite	noun	nonsense	literal
bumbandits	noun	rascals	euphemism
bumdriller	verb	botherer	euphemism
bumhole	noun	opening	euphemism
bunghole	noun	opening	euphemism
buttermilk	noun	fluid	euphemism
buttfuck	noun	violate	euphemism
buttfucker	verb	violator	euphemism
buttfuckers	noun	violators	euphemism
buttfuckingbandit	noun	violator	euphemism
butthole	noun	opening	euphemism
buttholeboy	noun	nuisance	euphemism
buttmunchers	noun	irritants	euphemism
buttpirate	verb	plunderer	euphemism
bwc	noun	member	euphemism
c00n	noun	racialslur	euphemism
c00nies	noun	racialslur	euphemism
c0ck	noun	member	euphemism
c0ckhead	noun	dimwit	euphemism
c0cks	noun	members	euphemism
c0cksuccer	verb	pleaser	euphemism
c0cksucked	verb	pleased	euphemism
c0cksucker	verb	pleaser	euphemism
c0cksuckers	noun	pleasers	euphemism
c0x	noun	member	euphemism
c0xux0r	noun	member	euphemism
caaak	noun	member	euphemism
caca	noun	poop	literal
cack	noun	waste	euphemism
cagone	noun	absent	literal
cajones	noun	guts	literal
cameljockey	noun	rider	euphemism
cameltoe	noun	outline	euphemism
carpetmuncher	verb	pleaser	euphemism
carpetmunchers	noun	pleasers	euphemism
carpetmunching	verb	pleasing	euphemism
cawk	noun	member	euphemism
cawkmuncher	verb	pleaser	euphemism
cawks	noun	members	euphemism
cawksucker	verb	pleaser	euphemism
ch1nk	noun	racialslur	euphemism
chesticles	noun	chest	euphemism
chinavirus	noun	illness	euphemism
chinesevirus	noun	illness	euphemism
chingchong	noun	racialslur	euphemism
chink	noun	racialslur	euphemism
chinky	noun	racialslur	euphemism
choadnectar	noun	fluid	euphemism
chocha	noun	genitals	euphemism
chokethechicken	noun	stimulate	euphemism
cholo	noun	gangster	literal
clitlickers	noun	pleasers	euphemism
closetfuckhead	noun	secretive	euphemism
clusterfuck	noun	disaster	literal
clusterfucked	verb	messed	literal
clusterfucker	verb	destroyer	euphemism
clusterfucking	verb	destroying	euphemism
clusterfucks	noun	disasters	literal
cnt	noun	person	euphemism
cntface	noun	grimace	euphemism
cnts	noun	people	euphemism
cnty	noun	unpleasant	euphemism
cobbknobbler	verb	botherer	euphemism
cock	noun	rooster	literal
cockboy	noun	nuisance	euphemism
cockdroplets	noun	fluid	euphemism
cockeater	verb	pleaser	euphemism
cockface	noun	grimace	euphemism
cockgobbler	verb	pleaser	euphemism
cockh3ad	noun	dimwit	euphemism
cockhead	noun	dimwit	euphemism
cockheads	noun	dimwits	euphemism
cockhed	verb	dimwit	euphemism
cockjockey	noun	rider	euphemism
cockknocker	verb	fighter	euphemism
cockless	noun	lacking	euphemism
cocklicker	verb	pleaser	euphemism
cockmonger	verb	dealer	euphemism
cockmunch	noun	pleaser	euphemism
cockmuncher	verb	pleaser	euphemism
cockrider	verb	rider	euphemism
cocks	noun	roosters	literal
cockshit	noun	waste	euphemism
cockskin	noun	membrane	euphemism
cocksmoker	verb	user	euphemism
cocksnot	noun	fluid	euphemism
cocksucc	noun	pleaser	euphemism
cocksuccas	noun	pleasers	euphemism
cocksuccer	verb	pleaser	euphemism
cocksuccers	noun	pleasers	euphemism
cocksuck	noun	please	euphemism
cocksuckas	noun	pleasers	euphemism
cocksucked	verb	pleased	euphemism
cocksucker	verb	pleaser	euphemism
cocksuckers	noun	pleasers	euphemism
cocksucking	verb	pleasing	euphemism
cocksuckingboiolas	noun	pleasers	euphemism
cocksuckingmothafuckers	noun	jerks	euphemism
cocksuckingnobjokeys	noun	pleasers	euphemism
cocksucks	noun	pleases	euphemism
cocksuk	noun	please	euphemism
cocksuka	noun	pleaser	euphemism
cocksukka	noun	pleaser	euphemism
cocktease	noun	flirt	literal
cocsuck	noun	please	euphemism
cokmuncher	verb	pleaser	euphemism
coksucka	noun	pleaser	euphemism
coolie	noun	laborer	literal
coon	noun	racialslur	euphemism
coon1es	noun	racialslur	euphemism
cooni3s	noun	racialslur	euphemism
coonie	noun	racialslur	euphemism
coonies	noun	racialslur	euphemism
coons	noun	racialslur	euphemism
coot	noun	oldster	literal
cootcoot	noun	oldster	literal
cooter	verb	vagina	literal
cooterpuffing	verb	pleasing	euphemism
cootershooting	verb	pleasing	euphemism
cooties	noun	germs	literal
cottonpicker	verb	farmworker	literal
crazymofos	noun	madmen	literal
crazysob	noun	madman	literal
creampie	noun	dessert	literal
crotch	noun	groin	literal
crotchfiddler	verb	botherer	euphemism
crotchy	noun	irritable	euphemism
crow	noun	bird	literal
crows	noun	birds	literal
cuksuker	verb	pleaser	euphemism
cuksukka	noun	pleaser	euphemism
cumball	noun	mess	euphemism
cumdumpster	verb	receptacle	euphemism
cumgoon	noun	weirdo	euphemism
cumming	verb	climaxing	literal
cums	noun	climaxes	literal
cumslut	noun	pleaser	euphemism
cumz	noun	climaxes	literal
cunnilingus	noun	pleasure	euphemism
cunt	noun	person	euphemism
cuntasaurusrex	noun	monster	euphemism
cuntass	noun	jerk	euphemism
cuntbag	noun	jerk	euphemism
cuntbollock	noun	nonsense	euphemism
cuntelope	noun	animal	euphemism
cuntfart	noun	gas	euphemism
cuntits	noun	jerk	euphemism
cuntless	noun	lacking	euphemism
cuntlick	noun	please	euphemism
cuntlicker	verb	pleaser	euphemism
cuntlickers	noun	pleasers	euphemism
cuntlips	noun	mouth	euphemism
cuntness	noun	meanness	euphemism
cunts	noun	people	euphemism
cunty	noun	mean	euphemism
cuntz	noun	people	euphemism
cuunt	noun	person	euphemism
cyberfck	noun	harass	euphemism
cyberfcks	noun	harasses	euphemism
cyberfuccs	noun	harasses	euphemism
cyberfucks	noun	harasses	euphemism
cyberfucs	noun	harasses	euphemism
cyberfukk	noun	harass	euphemism
cyberfukks	noun	harasses	euphemism
cyberfvcks	noun	harasses	euphemism
d0ggystyle	noun	position	euphemism
d1ck	noun	jerk	euphemism
d1ckhead	noun	dimwit	euphemism
d1ckheads	noun	dimwits	euphemism
d1cks	noun	jerks	euphemism
d1cksucker	verb	pleaser	euphemism
d1cksukka	noun	pleaser	euphemism
d1ckz	noun	jerks	euphemism
d1ldo	noun	toy	euphemism
dafuq	noun	what	euphemism
dago	noun	italian	euphemism
darkass	noun	bottom	euphemism
darkfuck	noun	violate	euphemism
darkie	noun	racialslur	euphemism
darkshit	noun	waste	euphemism
darktard	noun	dummy	euphemism
darky	noun	racialslur	euphemism
dck	noun	jerk	euphemism
dcks	noun	jerks	euphemism
dickbreath	noun	halitosis	euphemism
dickface	noun	grimace	euphemism
dickfucker	verb	violator	euphemism
dickgobbler	verb	pleaser	euphemism
dickhead	noun	dimwit	euphemism
dickheads	noun	dimwits	euphemism
dickjockies	noun	riders	euphemism
dickless	noun	lacking	euphemism
dicklicker	verb	pleaser	euphemism
dickmilker	verb	extractor	euphemism
dickmuncher	verb	pleaser	euphemism
dicknibbler	verb	biter	euphemism
dicks	noun	jerks	euphemism
dickskin	noun	membrane	euphemism
dickslapper	verb	fighter	euphemism
dicksmoker	verb	user	euphemism
dicksucker	verb	pleaser	euphemism
dickvag	noun	genitals	euphemism
dickz	noun	jerks	euphemism
diddle	noun	waste	euphemism
dikhead	noun	dimwit	euphemism
diks	noun	jerks	euphemism
dild0	noun	toy	euphemism
dipsh1t	noun	dimwit	euphemism
dipsh1tty	noun	foolish	euphemism
dipshat	noun	dimwit	euphemism
dipshidiot	noun	dimwit	euphemism
dipshit	noun	dimwit	euphemism
dipshite	noun	dimwit	euphemism
dipshits	noun	dimwits	euphemism
dipshitter	verb	dimwit	euphemism
dipshitty	noun	foolish	euphemism
dipstick	noun	fool	euphemism
dirtysanchez	noun	mess	euphemism
dix	noun	jerks	euphemism
dlck	noun	jerk	euphemism
dlcks	noun	jerks	euphemism
dld0	noun	toy	euphemism
dldo	noun	toy	euphemism
dogfuck	noun	violate	euphemism
dogfucker	verb	violator	euphemism
dogfucking	verb	violating	euphemism
doggostyle	noun	position	euphemism
doggystyle	noun	position	euphemism
dogiestyle	noun	position	euphemism
dogsbollocks	noun	best	euphemism
dogsh1t	noun	waste	euphemism
dogsh1ts	noun	wastes	euphemism
dogshit	noun	waste	euphemism
dogshits	noun	wastes	euphemism
dogstyle	noun	position	euphemism
dolt	noun	dimwit	literal
dong	noun	member	euphemism
doosh	noun	jerk	euphemism
dothead	noun	racialslur	euphemism
doubledick	noun	doublejerk	euphemism
doubledicking	verb	violating	euphemism
doubledong	noun	doublemember	euphemism
doublepen	noun	twopens	euphemism
douche	noun	jerk	euphemism
douchebag	noun	jerk	euphemism
douchecanoe	noun	jerk	euphemism
dumasses	noun	dimwits	euphemism
dumbarrassed	verb	embarrassed	euphemism
dumbass	noun	dimwit	euphemism
dumbasses	noun	dimwits	euphemism
dumbassfucker	verb	violator	euphemism
dumbassmofoes	noun	dimwits	euphemism
dumbassmothafuckers	noun	dimwits	euphemism
dumbasssonofabitch	noun	dimwit	euphemism
dumbbastard	noun	dimwit	euphemism
dumbfucker	verb	violator	euphemism
dumbfucks	noun	dimwits	euphemism
dumbshit	noun	dimwit	euphemism
dumbss	noun	dimwit	euphemism
dumpaload	noun	release	euphemism
dunecoon	noun	racialslur	euphemism
dyke	noun	lesbian	literal
erectoplasm	noun	fluid	euphemism
f0ck	noun	mess	euphemism
f0cked	verb	messed	euphemism
f0cker	verb	messer	euphemism
f0ckers	noun	messers	euphemism
facefuck	noun	violate	euphemism
fack	noun	mess	euphemism
fackuhs	noun	messers	euphemism
fag	noun	cigarette	euphemism
fag0t	noun	bundle	euphemism
fagasses	noun	jerks	euphemism
fagbag	noun	meanie	euphemism
faget	noun	bundle	euphemism
fagg0t	noun	bundle	euphemism
fagging	verb	bothering	euphemism
faggo	noun	cigarette	euphemism
faggot	noun	bundle	euphemism
faggoting	verb	bothering	euphemism
faggotmofoes	noun	meanies	euphemism
faggotmothafuckers	noun	meanies	euphemism
faggotnobjockies	noun	meanies	euphemism
faggotnobjokeys	noun	meanies	euphemism
faggots	noun	bundles	euphemism
faggotsonofabitch	noun	meanie	euphemism
faggs	noun	cigarettes	euphemism
faggy	noun	effeminate	euphemism
faghag	noun	friend	euphemism
fagot	noun	bundle	euphemism
fagqueen	noun	royalty	euphemism
fags	noun	cigarettes	euphemism
fagshit	noun	waste	euphemism
fartfucker	verb	gasser	euphemism
fatass	noun	heavyset	euphemism
fatasses	noun	heavysets	euphemism
fccuker	verb	messer	euphemism
fck	noun	mess	euphemism
fcka	noun	messer	euphemism
fckahz	noun	messers	euphemism
fcked	verb	messed	euphemism
fckedup	noun	broken	euphemism
fcker	verb	messer	euphemism
fckerbunny	noun	energetic	euphemism
fckin	noun	messing	euphemism
fcking	verb	messing	euphemism
fckk	noun	mess	euphemism
fckked	verb	messed	euphemism
fckking	verb	messing	euphemism
fcks	noun	messes	euphemism
fcktard	noun	dimwit	euphemism
fckyeah	noun	indeed	euphemism
fckyou	noun	goscratch	euphemism
fcuk	noun	mess	euphemism
fcuked	verb	messed	euphemism
fcuker	verb	messer	euphemism
fcukers	noun	messers	euphemism
fcuking	verb	messing	euphemism
fcukker	verb	messer	euphemism
fcuks	noun	messes	euphemism
fcvking	verb	messing	euphemism
feck	noun	mess	euphemism
feckarse	noun	mess	euphemism
fecker	verb	messer	euphemism
fed	verb	eaten	literal
feg	noun	cigarette	euphemism
fellatioaficionado	noun	enthusiast	literal
fellator	noun	pleaser	euphemism
fer	verb	for	literal
fg	noun	cigarette	euphemism
fgg0t	noun	bundle	euphemism
fgging	verb	bothering	euphemism
fggot	noun	bundle	euphemism
fgs	noun	cigarettes	euphemism
fgshit	noun	waste	euphemism
fick	noun	mess	euphemism
finger	verb	digit	literal
fingerbanged	verb	penetrated	euphemism
fingerfuck	noun	stimulate	euphemism
fingerpop	noun	snap	literal
fk	noun	mess	euphemism
fkbny	noun	energetic	euphemism
fkbunny	noun	energetic	euphemism
fked	verb	messed	euphemism
fker	verb	messer	euphemism
fking	verb	messing	euphemism
fkings	noun	messings	euphemism
fkker	verb	messer	euphemism
flamer	verb	flashy	euph
jeans   noun    pants    literal			
jeans	noun	pants	literal
shit	noun	crap	literal
